epoch,train_loss,train_acc,val_loss,val_acc,tar_at_far,lr,elapsed_s
21,21.720981,0.000000,22.015212,0.000000,0.000000,2.14e-04,88.6
24,18.839968,0.000000,18.883632,0.000000,0.000000,1.05e-04,88.5
16,24.894989,0.000000,25.468893,0.000000,0.000000,4.53e-04,88.6
22,20.966667,0.000000,21.850238,0.000000,0.000000,1.74e-04,88.4
25,18.232212,0.000000,18.803531,0.000000,0.000000,7.63e-05,88.4
17,23.835016,0.000000,24.566248,0.000000,0.000000,4.02e-04,88.2
23,20.305168,0.000000,21.031586,0.000000,0.000000,1.37e-04,88.5
26,17.817788,0.000000,17.927166,0.000000,0.000000,5.28e-05,88.7
18,22.553432,0.000000,23.533919,0.000000,0.000000,3.52e-04,89.0
24,19.713832,0.000000,21.035788,0.000000,0.002288,1.05e-04,89.6
27,17.584348,0.000000,17.885130,0.000000,0.000000,3.42e-05,92.6
19,21.741493,0.000000,23.127199,0.000000,0.000000,3.04e-04,94.0
25,19.246596,0.000000,20.252826,0.000000,0.002288,7.63e-05,94.2
28,17.343318,0.000000,17.871825,0.000000,0.000000,2.08e-05,96.4
20,20.814935,0.000000,21.634483,0.000000,0.000000,2.58e-04,100.0
26,18.857540,0.000000,19.796825,0.000000,0.002288,5.28e-05,117.9
29,17.209829,0.000000,17.781625,0.000000,0.000000,1.27e-05,121.0
21,19.791718,0.000000,19.864708,0.000000,0.000000,2.14e-04,123.2
27,18.703736,0.000000,19.833488,0.000000,0.000000,3.42e-05,136.0
30,17.105722,0.000000,17.482042,0.000000,0.000000,1.00e-05,113.4
22,18.936372,0.000000,19.557413,0.000000,0.000000,1.74e-04,99.4
28,18.547886,0.000000,20.279863,0.000000,0.006865,2.08e-05,78.6
23,18.189952,0.000000,19.110379,0.000000,0.000000,1.37e-04,50.5
29,18.555414,0.000000,19.381501,0.000000,0.000000,1.27e-05,44.7
24,17.681576,0.000000,18.778468,0.000000,0.000000,1.05e-04,46.2
30,18.365419,0.000000,19.268349,0.000000,0.000000,1.00e-05,40.2
25,17.086208,0.000000,17.907482,0.000000,0.000000,7.63e-05,29.2
26,16.692237,0.000000,17.717473,0.000000,0.000000,5.28e-05,13.4
27,16.385209,0.000000,17.686598,0.000000,0.000000,3.42e-05,13.3
28,16.101573,0.000000,17.408983,0.000000,0.000000,2.08e-05,13.9
29,15.972436,0.000000,17.259055,0.000000,0.000000,1.27e-05,13.2
30,15.905892,0.000000,17.129285,0.000000,0.000000,1.00e-05,16.0
